OBJECTID,State,Abbr,Region,EMA+E:GC,EMAC Description,IMAS,IMAS Description,EMAC Public/Private,IMAS Public,IMAS Private,Private/Volunteer Responder In-State Benefits & Protections,Engineer,Architect
19,Pennsylvania,PA,3,Standard EMAC,"Provides benefits and protections to public-sector response personnel, but not to private-sector response personnel. Private-sector personnel may not be allowed to respond through EMAC during disasters.",Statewide opt-out program,"State creates a mutual aid program and automatically integrates all of its political subdivisions into it, leaving the burden on jurisdictions to opt out if they so choose. Some states even forego an opt-out provision.",Commonwealth has a standard compact with no known significant incorporation of private resources into EMAC.,Pennsylvania adopts a commonwealth-wide opt-out IMAS.,Commonwealth allows any individual with special skills and qualifications useful during an emergency to be deployed through IMAS. Commonwealth explicitly empowers its governor and political subdivisions to accept services and resources offered by private entities for emergency management purposes.,"For liability purposes, all persons responding under the operational control of the requesting IMAS jurisdiction are counted as employees of the requesting subdivision and as performing government functions, and are given the same legal protections as public emergency
responders. Commonwealth’s IMAS program provides workers’ compensation protections for volunteers. Private persons engaged in emergency services activities, while attempting to comply with the relevant emergency management laws and regulations (see cited statute),
are not liable for harm to persons or property as a result of that activity, except in cases of willful misconduct, gross negligence, recklessness, or bad faith. Private persons who are temporarily deployed by the Commonwealth in accordance with the Pennsylvania Emergency
Management Agency’s rules and regulations for the deployment of such individuals, who are deployed for the purpose of emergency services activities in response to a mutual aid request by the Pennsylvania Emergency Management Agency, are not liable for harm to
persons or property as a result of those activities, except in cases of willful misconduct, gross negligence, recklessness, or bad faith. In-state licensed architects, geologists, land surveyors, landscape architects, and professional engineers who volunteer their professional services for disaster relief, and are not compensated more than reimbursement for reasonable expenses actually incurred, and who render those professional services at the request or with the approval of a public official acting in an official capacity, are not liable for civil damages for harm resulting from acts or omissions in rendering those services except under certain statutorily defined conditions.",Yes,Yes
53,Puerto Rico,PR,2,Standard EMAC,"Provides benefits and protections to public-sector response personnel, but not to private-sector response personnel. Private-sector personnel may not be allowed to respond through EMAC during disasters.",No known significant IMAS,No known significant IMAS.,Territory has a standard compact with no known significant incorporation of private resources into EMAC.,No known significant IMAS.,Territory authorizes municipal mayors to accept private resources offered for emergency management purposes. Territory also authorizes the Emergency Management and Disaster Administration Bureau to request any assistance offered by private persons or organizations and to organize and train groups or individuals in emergency management.,"Except in cases of gross negligence or intentional misconduct, in-state licensed architects, engineers, land surveyors, and construction personnel under their control, are not liable for civil damages for harm to persons or property resulting from their acts, errors, or omissions in rendering their professional services if providing them voluntarily and without compensation during a declared disaster and at the request or with the approval of certain statutorily-identified public officials (see statute cited in footnote), and without any legal or contractual relationship (presumably meaning with the public officials mentioned above, although the statute fails to explicitly state this).",Yes,Yes
6,Rhode Island,RI,1,Standard EMAC,"Provides benefits and protections to public-sector response personnel, but not to private-sector response personnel. Private-sector personnel may not be allowed to respond through EMAC during disasters.",Statewide opt-out program,"State creates a mutual aid program and automatically integrates all of its political subdivisions into it, leaving the burden on jurisdictions to opt out if they so choose. Some states even forego an opt-out provision.",State has a standard compact with no known significant incorporation of private resources into EMAC.,"State requires each city and town to have a local emergency management agency which cooperates with and assists the state’s emergency management agency, and empowers the local agencies to assist and cooperate with each other.","State authorizes the governor to create mobile support units which may include private personnel. Mobile support unit personnel must be subject to the control of the authority in charge of disaster activities where they are serving and are reimbursed for all actual and necessary travel and subsistence expenses as if they were temporary state employees. While on duty, whether inside or outside Rhode Island, the mobile support unit personnel, if they are not employees of the state or a political subdivision thereof, are entitled to a rate of pay equal to that of state court jurors, and receive the same rights and immunities as state employees.","Mobile support unit personnel under the control of the authority in charge of disaster activities are granted the same immunity rights as state employees. Disaster response workers can include any private person, firm, or corporation providing disaster relief under
the control or request of a government unit; such workers, when complying or reasonably attempting to comply with the applicable state and local laws, regulations, or ordinances (see statute cited in footnote) are not liable for harm to persons or property resulting from
that service except in cases of willful misconduct, gross negligence, or bad faith. Absent gross negligence, or willful misconduct, in-state licensed architects and engineers who volunteer their professional services without compensation are not liable for civil damages for harm to persons or property resulting from their acts or omissions in rendering those professional services during and at the scene of a governor-declared disaster emergency and relating to the structural integrity of any building, structure, or system involved in the emergency, or to any nonstructural element thereof which affects public safety. In addition, all registered architects with a National Council of Architectural Registration Boards certification are allowed to practice for a period of 90 days following the date of the declared disaster.",Yes,Yes
28,South Carolina,SC,4,Standard EMAC,"Provides benefits and protections to public-sector response personnel, but not to private-sector response personnel. Private-sector personnel may not be allowed to respond through EMAC during disasters.",Statewide opt-out program,"State creates a mutual aid program and automatically integrates all of its political subdivisions into it, leaving the burden on jurisdictions to opt out if they so choose. Some states even forego an opt-out provision.",State has a standard compact with no known significant incorporation of private resources into EMAC.,State creates a statewide mutual aid system by authorizing (but not requiring) any municipality or emergency management entity in the state to provide mutual assistance upon request by any other municipality or emergency management entity in the state during a significant event or disaster.,State defines “South Carolina Emergency Management (Civil Defense) Organization” as including enrolled volunteers and persons recruited by agreement or operation of law.,"Volunteers in state service are protected by sovereign immunity to the same extent as employees. Except in cases of gross negligence or recklessness, in-state licensed architects and engineers who volunteer their professional services for disaster relief and receive no compensation are not liable for civil damages for harm resulting from their acts, errors, or omissions in the rendering of those professional services at the scene of a declared emergency, at the request of the governor, within 30 days of the event giving rise to the declared state of emergency, and relating to a structure, building, piping, or other engineered system. This immunity does not cover professionals serving under an emergency waiver of licensing and credentialing requirements pursuant to South Carolina Code § 40-22-75, nor does it cover architects merely registered in the state pursuant to South Carolina Code § 40-3-260.",Yes,Yes
46,South Dakota,SD,8,Standard EMAC,"Provides benefits and protections to public-sector response personnel, but not to private-sector response personnel. Private-sector personnel may not be allowed to respond through EMAC during disasters.",Statewide opt-out program,"State creates a mutual aid program and automatically integrates all of its political subdivisions into it, leaving the burden on jurisdictions to opt out if they so choose. Some states even forego an opt-out provision.",State has a standard compact with no known significant incorporation of private resources into EMAC. State has also codified a State and Province Emergency Management Assistance Memorandum of Understanding.,"Similar to a statewide IMAS without an opt out option, State’s Incident Command System empowers any public agency or covered entity (which includes any private or nonprofit entity that provides emergency services as defined in state law) to request assistance from any other public agency or covered entity in order to preserve and protect public health, safety, and welfare, utilizing the National Incident Management System. State also authorizes its Department of Public Safety to coordinate individual compacts. Governor may also directly order political subdivisions to assist other political subdivisions.",State defines “Emergency Management Worker” to include any paid or volunteer employee of any organization performing services in the state under the control or request of the state or a political subdivision. State empowers its governor to accept goods and services from private entities for emergency management purposes.,"Private Emergency Management Workers serving under the control of a public emergency management authority receive compensation and identical rights and immunities with state employees whether serving in-state or out-of-state. In-state licensed architects and engineers who, voluntarily and without compensation beyond expense reimbursement, provide professional design services at the request or with the approval of a public official in response to a disaster within 90 days following the end of the declared emergency unless extended by executive order of the governor shall not be liable for civil damages for harm to persons or property resulting from those services except in cases of gross negligence or willful or wanton misconduct.",Yes,Yes
30,Tennessee,TN,4,Standard EMAC,"Provides benefits and protections to public-sector response personnel, but not to private-sector response personnel. Private-sector personnel may not be allowed to respond through EMAC during disasters.",Statewide opt-out program,"State creates a mutual aid program and automatically integrates all of its political subdivisions into it, leaving the burden on jurisdictions to opt out if they so choose. Some states even forego an opt-out provision.","State has a standard compact. State law allows heath care providers, including those from hospitals and community mental health centers, to be deployed through EMAC.",State creates a statewide mutual aid system by authorizing (but not requiring) any governmental entity in the state to provide mutual aid assistance upon request by any other governmental entity in the state.,No known explicit incorporation of private resources into IMAS.,"Absent gross negligence or willful misconduct, in-state licensed architects and engineers who volunteer their professional services without compensation or expectation of compensation are not liable in negligence for harm to persons or property caused by their
good faith but negligent inspection of a structure used for human habitation or owned by a public entity for structural integrity or nonstructural elements affecting life and safety, if the inspection is performed at the scene of and within 90 days of a declared emergency, and
by request of a public safety officer or city or county building inspector acting in an official capacity.",Yes,Yes
26,Texas,TX,6,Standard EMAC,"Provides benefits and protections to public-sector response personnel, but not to private-sector response personnel. Private-sector personnel may not be allowed to respond through EMAC during disasters.",Statewide opt-out program,"State creates a mutual aid program and automatically integrates all of its political subdivisions into it, leaving the burden on jurisdictions to opt out if they so choose. Some states even forego an opt-out provision.",State has a standard compact. State law allows its EMAC system to include volunteer health practitioners.,"State law creates the Texas Statewide Mutual Aid System, which allows (but does not require) any political subdivision to provide mutual aid assistance upon request by any other political subdivision.","State empowers its Division of Emergency Management to employ and pay disaster reservists “with specialized skills in disaster recovery, hazard mitigation, community outreach, and public information to temporarily augment its permanent staff.”","If the assistance of a person who holds a license, certificate, permit, or other document evidencing qualification in a professional, mechanical, or other skill is requested by a state agency or local government entity under the Texas Statewide Mutual Aid System, the
person is considered licensed, certified, permitted, or otherwise documented in the political subdivision in which the service is provided as long as the service is required, subject to any limitations imposed by the chief executive officer or the governing body of the requesting
state agency or local government entity. A local government entity or organized volunteer group may provide mutual aid assistance on request from another local government entity or organized volunteer group. The chief or highest ranking officer of the entity from which assistance is requested, with the approval and consent of the presiding officer of the governing body of that entity, may provide that assistance while acting in accordance with the policies, ordinances, and procedures established by the governing body of that entity.
A person assigned duties by a local government entity responding to a request through the Texas Statewide Mutual Aid System is entitled to the same pay and benefits as though providing the services for that local government entity employing the person. Except in cases of gross negligence or wanton or willful misconduct, and subject to certain other statutorily-defined conditions (see cited statute), in-state licensed or registered architects and professional engineers are not liable for civil damages for harm to persons or property resulting from their acts, errors, or omissions in rendering those professional services related to structures, buildings, roadways, piping, or other systems, if rendering such services voluntarily and without receiving or expecting compensation, during and in response to a declared emergency and at the request or with the approval of a public official acting in an official capacity.",Yes,Yes
24,Utah,UT,8,Standard EMAC,"Provides benefits and protections to public-sector response personnel, but not to private-sector response personnel. Private-sector personnel may not be allowed to respond through EMAC during disasters.",Statewide opt-out program,"State creates a mutual aid program and automatically integrates all of its political subdivisions into it, leaving the burden on jurisdictions to opt out if they so choose. Some states even forego an opt-out provision.",State has a standard compact. State law allows volunteer health practitioners to be included in its EMAC. State also supplements EMAC with an interstate emergency response agreement that provides for the interstate sharing of emergency services in scenarios where EMAC may not apply or may be insufficient.,State adopts a statewide opt-out IMAS.,"Utah Statewide Mutual Aid Act defines “Emergency Responder” to mean any public or private sector person with special skills and qualifications that would benefit an IMAS-participating jurisdiction responding to a locally declared emergency or in an authorized drill or exercise, and who is requested or authorized by such a jurisdiction to assist in such an emergency or drill or exercise, specifically including architects, engineers, and other design professionals.","During and for 90 days following a declared state of emergency, in-state licensed architects and professional engineers providing good faith services within the scope of their respective license, voluntarily and without compensation, and at the request of a public official in response to the declared state of emergency are not liable for civil damages for harm to persons or property resulting from their acts, errors, or omissions in the provision of their architectural or engineering services within the scope of their licensure.",Yes,Yes
48,Virginia,VA,3,Standard EMAC,"Provides benefits and protections to public-sector response personnel, but not to private-sector response personnel. Private-sector personnel may not be allowed to respond through EMAC during disasters.",Statewide opt-in program,State creates a mutual aid program but leaves the burden on individual jurisdictions to opt in to the program.,Commonwealth has a standard compact with no known significant incorporation of private resources into EMAC.,Commonwealth maintains a statewide mutual aid program which political subdivisions may opt to join. Commonwealth also authorizes its political subdivisions to use individual compacts.,"Commonwealth broadly defines “Emergency Services” as essentially all non-military activities intended to minimize damage resulting from disasters, and explicitly includes engineering.","Subject to certain statutorily-defined conditions (see citation in footnote), private employees engaged in emergency services, except in cases of willful misconduct, are not liable for harm to persons or property resulting from such activities. In addition, commonwealth grants
civil liability immunity to uncompensated licensed architects and engineers for harm to persons or property resulting from their acts or omissions in rendering their professional services in good faith at the scene of or in connection with a natural or man-made disaster or
other life-threatening emergency, except in cases of gross negligence or willful misconduct. Volunteers in state and local service enjoy the protection of the commonwealth’s sovereign immunity to the same extent as paid staff.",Yes,Yes
54,US Virgin Islands,VI,2,Standard EMAC,"Provides benefits and protections to public-sector response personnel, but not to private-sector response personnel. Private-sector personnel may not be allowed to respond through EMAC during disasters.",No known significant IMAS,No known significant IMAS.,Territory has a standard compact. USVI law allows its EMAC system to include volunteer health practitioners.,No known significant IMAS.,"Territory empowers the governor to accept private services offered for emergency management purposes.15 Territory also empowers the Virgin Islands Territorial Emergency Management Agency to coordinate private emergency management activities with federal, territorial, and local emergency management activities.","No known legislation extending legal protections to private, non-medical emergency responders.",No,No
10,Vermont,VT,1,Standard EMAC,"Provides benefits and protections to public-sector response personnel, but not to private-sector response personnel. Private-sector personnel may not be allowed to respond through EMAC during disasters.",No known significant IMAS,No known significant IMAS.,"State has a standard compact with no known significant incorporation of private resources into EMAC. State authorizes mobile support units, which may consist of private personnel, to be deployed to other states, though the statute does not explicitly integrate this into state’s EMAC system.",No known significant IMAS.,"State authorizes the governor and political subdivisions to accept private equipment and services offered for emergency management services, and empowers the governor to request mobile support unit assistance from other states. State authorizes the Public Safety Commissioner to create mobile support units, which may include private personnel, and to deploy them to other states, provided that the other state contains legal protections and provisions substantially similar to those Vermont law provides. State broadly defines “emergency functions” to include essentially all functions related to civil protection, explicitly including engineering. State likewise broadly defines “emergency management” to include all non-military functions to prevent, plan for, mitigate, and support response and recovery efforts from all hazards.","Personnel serving in a Vermont mobile support unit in Vermont may be compensated or reimbursed by the state. A state which deploys its mobile support units to Vermont pursuant to a request from the Vermont governor will be compensated by Vermont for
compensation paid and actual and necessary travel, subsistence, and maintenance expenses of the mobile support unit personnel while providing the aid, and for all payments for death, disability, or injury of the unit’s personnel incurred in the course of providing
the aid, and for all losses of or damage to supplies and equipment of the other state resulting from the provision of that aid, provided that the laws of the other state or a reciprocal mutual aid agreement contain provisions substantially similar to those found
in this section of Vermont law, or that the federal government has authorized or agreed to make reimbursements for the mutual aid on a basis that is substantially similar to the requirements of this section of Vermont law. Personnel who are not employees of the state or a political subdivision of the state and who serve in a mobile support unit are given the same immunity as state employees. Private entities providing emergency management services are not liable for civil damages for harm resulting from that service, except in cases of willful misconduct or gross negligence. Volunteers providing services under the control, direction, and request of a state agency, without compensation, are entitled to defense by the state in any civil suit arising out of the performance of their official duties as if they were state employees.",No,No
20,Washington,WA,10,Standard EMAC,"Provides benefits and protections to public-sector response personnel, but not to private-sector response personnel. Private-sector personnel may not be allowed to respond through EMAC during disasters.",Statewide opt-out program,"State creates a mutual aid program and automatically integrates all of its political subdivisions into it, leaving the burden on jurisdictions to opt out if they so choose. Some states even forego an opt-out provision.","State has a standard compact. State law allows for incorporation of volunteer health practitioners into its EMAC system. However, state policy is not to utilize private sector volunteers through EMAC due to their lack of liability protections within EMAC.",State adopts a statewide opt-out IMAS called the Intrastate Mutual Aid System (IMAS) and allows for additional voluntary mutual aid agreements between local emergency management organizations.,No known significant private mutual aid policies.,"State does provide some liability immunity for volunteer emergency workers, including volunteer architects and engineers, assisting an approved emergency management organization in a disaster relief context, but see Washington Revised Code Secs. 38.52.010, 38.52.180, 38.52.195 and 38.52.1951 for the particular requirements and eligibility criteria of that immunity.",Yes,Yes
16,Wisconsin,WI,5,Standard EMAC,"Provides benefits and protections to public-sector response personnel, but not to private-sector response personnel. Private-sector personnel may not be allowed to respond through EMAC during disasters.",Statewide opt-in program,State creates a mutual aid program but leaves the burden on individual jurisdictions to opt in to the program.,State has a standard compact with no known significant incorporation of private resources into EMAC.,State’s Mutual Aid Box Alarm System operates as a statewide opt-in mutual aid system. State also utilizes individual compacts.,Volunteers may register with a state or local emergency management agency to provide emergency management services. Governor may accept services and equipment from any source for emergency management purposes and may authorize other state and local units of government to do the same.,"In certain instances (see footnote), and except for reckless, wanton, or intentional misconduct, persons who provide emergency services or equipment under the direction of an appropriate state or local authority (see footnote) are not liable for civil damages for harm
to persons or property resulting from the provision of those services or equipment. In other certain instances (see footnotes), volunteers who are registered with the state emergency management agency or registered in writing with a local emergency management agency,
and are compensated no more than reimbursement for travel, lodging, or meals, are treated as employees of the state or local agency under specified Wisconsin laws (see footnote) for the purposes of any worker’s compensation or liability claim related to the emergency
assistance provided during the disaster.",No,No
1,West Virginia,WV,3,Standard EMAC,"Provides benefits and protections to public-sector response personnel, but not to private-sector response personnel. Private-sector personnel may not be allowed to respond through EMAC during disasters.",Statewide opt-out program,"State creates a mutual aid program and automatically integrates all of its political subdivisions into it, leaving the burden on jurisdictions to opt out if they so choose. Some states even forego an opt-out provision.","State has a standard compact. State empowers the West Virginia Department of Health to incorporate state volunteer health practitioners into West Virgina’s emergency forces and deploy them through EMAC. State authorizes its governor to deploy mobile support units, which may consist of private personnel, to serve outside the state, but the statute does not explicitly integrate this with EMAC.",State adopts statewide opt-out program.,State broadly defines “Emergency Services” as essentially all non-military activities intended to minimize damage resulting from disasters.,"State deems all activities relating to emergency services to be governmental functions. Personnel serving in a mobile support unit must be subject to the operational control of the authority in charge of emergency service activities in the area in which they are serving and
are given the same civil liability immunity as state employees, and receive compensation and reimbursement for travel and subsistence expenses. Duly qualified emergency workers responding through a mutual aid agreement possess the same immunities they would have if serving in their own jurisdiction.",No,No
31,Wyoming,WY,8,Standard EMAC,"Provides benefits and protections to public-sector response personnel, but not to private-sector response personnel. Private-sector personnel may not be allowed to respond through EMAC during disasters.",Individual compacts,"Individual jurisdictions enter into mutual aid agreements with each other, often in the form of a Memorandum of Understanding or Memorandum of Agreement. This approach allows for geographic limitations of each individual agreement and the possibility for variations among individual agreements within a given area.",State has a standard compact with no known significant incorporation of private resources into EMAC.,State authoritizes individual compacts between political subdivisions.,State authorizes its governor and political subdivisions to create emergency support task forces which may consist of and compensate private employees and volunteers.,"Volunteers serving on an emergency task force are given the same rights and immunities as state employees, and in the event of injury, disability, or death, are entitled to compensation at the same rates as provided by the Wyoming Worker’s Compensation Act for like injuries, disabilities, or death.",No,No
